WDPAID,PA_AREA_KM2,NAME,SHORT_NAME,DESIG,IUCN_CAT,STATUS,STATUS_YR,STATUS_YR_PERM,STATUS_YR_WDPA,MANG_AUTH,MANAGER,MANAGER_SHORT,MANAGER_TYPE
1299,1366.4333132933994,Ankarafantsika,Ankaraf.,Parc National,II,Designated,1927,1927,2002,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
2303,761.1120653712863,Andohahela,Andohahela,Parc National,II,Designated,1939,1939,1997,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
2305,555.7434826944568,Marojejy,Marojejy,Parc National,II,Designated,1952,1952,1998,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
2306,1087.0948067603035,Tsaratanana,Tsarata.,Réserve Naturelle Intégrale,Ia,Designated,1927,1927,1927,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
2307,2016.2184029306145,Tsimanampesotse,Tsimanampe,Parc National,II,Designated,1927,1927,2002,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
2308,314.70444200878507,Andringitra,Andringi.,Parc National,II,Designated,1927,1927,1998,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
2309,225.24872451256007,Namoroka,Namoroka,Parc National,II,Designated,1927,1927,2002,Ministry of Environment and Sustainable Development,Not Reported,Not Reported,NA
2310,22.387668970435644,Betampona,Betampona,Réserve Naturelle Integrale,Ia,Designated,1927,1927,1927,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
2311,8.46051219998064,Lokobe,Lokobe,Parc National,II,Designated,1927,1927,2011,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
2312,866.529547307389,Isalo,Isalo,Parc National,II,Designated,1962,1962,1962,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
2314,305.6574681645757,Montagne d'Ambre,Mont Ambre,Parc National,II,Designated,1958,1958,2015,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
5021,8.721596386082995,Analamazaotra,Analamaz.,Parc National,II,Designated,1970,1970,1970,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
5022,471.7299127540105,Analamerana,Analamer.,Reserve Speciale,IV,Designated,1956,1956,1956,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
5023,269.1870730061671,Anjanaharibe_sud,Anjanaha.,Reserve Speciale,IV,Designated,1958,1958,1958,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
5024,252.5148242841996,Ankarana,Ankarana,Reserve Speciale,IV,Designated,1956,1956,1956,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
5026,516.1913787532742,Manongarivo,Manongari.,Reserve Speciale,IV,Designated,1956,1956,1956,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
5027,304.1338465877423,Kalambatrika,Kalamba.,Special Reserve,IV,Designated,1959,1959,1959,Ministry of Environment and Sustainable Development,Not Reported,Not Reported,NA
5028,65.42692257501722,Manombo,Manombo,Reserve Speciale,IV,Designated,1962,1962,1962,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
5029,44.9445302517897,Ivohibe,Ivohibe,Reserve Speciale,IV,Designated,1964,1964,1964,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
5030,243.17130874807293,Ambohijanahary,Ambohijan.,Reserve Speciale,IV,Designated,1958,1958,1958,Ministry of Environment and Sustainable Development,Not Reported,Not Reported,NA
5031,120.3603805749717,Bemarivo,Bemarivo,Reserve Speciale,IV,Designated,1956,1956,1956,Ministry of Environment and Sustainable Development,Not Reported,Not Reported,NA
5032,40.557780264819144,Bora,Bora,Reserve Speciale,IV,Designated,1956,1956,1956,Ministry of Environment and Sustainable Development,Not Reported,Not Reported,NA
5033,229.713350614339,Kasijy,Kasijy,Reserve Speciale,IV,Designated,1956,1956,1956,Ministry of Environment and Sustainable Development,Not Reported,Not Reported,NA
5034,59.71599561897704,Maningoza,Maningoza,Reserve Speciale,IV,Designated,1956,1956,1956,Ministry of Environment and Sustainable Development,Not Reported,Not Reported,NA
5035,451.25621906210307,Marotandrano,Marotandra,Reserve Speciale,IV,Designated,1956,1956,1956,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
5036,225.8150633001209,Tampoketsa Analamaitso,Tampoketsa,Reserve Speciale,IV,Designated,1958,1958,1958,Ministry of Environment and Sustainable Development,Not Reported,Not Reported,NA
5037,781.4320541108265,Ambatovaky,Ambatovaky,Reserve Speciale,IV,Designated,1958,1958,1958,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
5038,124.76642715139208,Mangerivola,Mangeri.,Reserve Speciale,IV,Designated,1958,1958,1958,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
5039,5.9580492817269395,Nosy Mangabe,Nosy Manga,Reserve Speciale,IV,Designated,1965,1965,2015,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
5040,81.74879553587283,Andranomena,Andranome.,Reserve Speciale,IV,Designated,1958,1958,1958,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
5041,36.219907819939884,Cap Sainte Marie,Cap Ste Ma,Reserve Speciale,IV,Designated,1962,1962,1962,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
6932,49.48218356195569,Ambohitantely,Ambohita.,Reserve Speciale,IV,Designated,1982,1982,1982,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
10634,42.037376842066685,Beza Mahafaly,Beza Maha.,Reserve Speciale,IV,Designated,1986,1986,1986,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
20272,2059.2835515612624,Befotaka Midongy,Befotaka,National Park,II,Designated,1997,1997,1997,Ministry of Environment and Sustainable Development,Not Reported,Not Reported,NA
20273,358.4651919283609,Zombitse Vohibasia,Zombitse,Parc National,II,Designated,1997,1997,1997,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
20283,1098.615455613806,Kinkony Lake,Kinkony Lk,Hunting Reserve,IV,Designated,2017,2017,2017,Ministry of Environment and Sustainable Development,Not Reported,Not Reported,NA
20287,405.2630536697128,Ranomafana,Ranomafana,Parc National,II,Designated,1991,1991,1991,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
26070,154.56030473197004,Mantadia,Mantadia,Parc National,II,Designated,1989,1989,1989,Ministry of Environment and Sustainable Development,Not Reported,Not Reported,NA
26072,241.44406663699067,Mananara Nord,Mananara,Parc National,II,Designated,1989,1989,1989,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
166880,626.5931227343267,Complexe Tsimembo Manambolomaty,Tsimembo,Protection Temporaire,V,Designated,2008,2026,2008,Ministry of Environment and Sustainable Development,Not Reported,Not Reported,NA
303695,2219.3744863907787,Masoala,Masoala,Parc National,II,Designated,1997,1997,1997,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
303698,628.0120978123234,Baie de Baly,Baie Baly,Parc National,II,Designated,1997,1997,1997,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
303700,1562.7292446580361,Kirindy Mite,Kirindy M,National Park,II,Designated,1997,1997,1997,Ministry of Environment and Sustainable Development,Not Reported,Not Reported,NA
303702,1577.0989352711083,Bemaraha,Bemaraha,Parc National,II,Designated,1927,1927,2011,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
352239,10.294695782700586,Ambatotsirongorongo,Ambatotsir,Aire Protegee,IV,Designated,2006,2015,2015,Ministry of Environment and Sustainable Development,Not Reported,Not Reported,NA
352240,2.2470078248300425,Analalava,Analalava,Reserve Speciale,IV,Designated,2006,2015,2015,"Ministry of Environment and Sustainable Development, VELONALA Association",Association Velonala,Velonal,Local ONG
352242,411.23116836466215,Complexe Anjozorobe Angavo,Anjozorobe,Paysage Harmonieux Protégé,V,Designated,2005,2015,2015,"Ministry of Environment and Sustainable Development, FANAMBY",Association Fanamby,Fanamby,Local ONG
352243,106.25452688975061,Ankodida,Ankodida,Paysage Harmonieux Protégé,V,Designated,2006,2015,2015,"Ministry of Environment and Sustainable Development, WWF",World Wide Fund for Nature,WWF,International ONG
352244,1132.1162107932398,Corridor forestier Bongolava,Bongolava,Paysage Harmonieux Protégé,V,Designated,2006,2015,2015,"Ministry of Environment and Sustainable Development, FBM",Fikambanana Bongolava Maitso,FBM,Local ONG
