periode,n,mean,sd,median,min,aire_min,max,aire_max
From 2008,84,574.1703961660714,1017.1330523833989,205.271294045,0.28,Nosy Antsoha,5688.61741,Complexe des  AP Ambohimirahavavy Marivorahona
Before 2008,60,2087.6101146666665,10070.254613667594,247.69,0.05,Parc de Tsarasaotra,78139,Ambatovaky
