n,mean,sd,median,min,max,periode,aire_min,aire_max
60,2087.6101146666665,10070.254613667594,247.69,0.05,78139,Before 2008,Parc de Tsarasaotra,Ambatovaky
84,574.1703961660714,1017.1330523833989,205.271294045,0.28,5688.61741,From 2008,Nosy Antsoha,Complexe des  AP Ambohimirahavavy Marivorahona
