"Year","Variable","SMD_before","SMD_after"
1997,"treecover_area_2000",0.695232443043741,0.150899805895511
1997,"slope_2000",0.182250406713727,0.0291829227530626
1997,"elevation_2000",0.364753734934859,0.0635416028970259
1997,"population_count_2000",0.886282504996397,0.0272098410207015
1997,"traveltime_2000_2000",0.171309269065109,0.171835425863745
2008,"treecover_area_2000",0.710723815112709,0.0278236904331655
2008,"slope_2000",0.114343414741145,0.0141542015533803
2008,"elevation_2000",0.50786133976068,0.0248787477166797
2008,"population_count_2000",0.538560698070492,0.102696531881132
2008,"traveltime_2000_2000",0.147669514561668,0.00443126910170782
2011,"treecover_area_2000",0.190306843217786,0.0974339287005209
2011,"slope_2000",0.106786094679144,0.000945543708349374
2011,"elevation_2000",0.426324839541044,0.00826419076346324
2011,"population_count_2000",0.930285558139822,0.153454512107715
2011,"traveltime_2000_2000",0.470448315237682,0.00810911491874672
2013,"treecover_area_2000",0.491342217741469,0.00909523944347957
2013,"slope_2000",0.0583549453871477,0.00700638953392926
2013,"elevation_2000",0.771424339358666,0.0169001614817576
2013,"population_count_2000",2.37939131299388,0.0995887375003651
2013,"traveltime_2000_2000",0.273886998490754,0.143116132862878
2016,"treecover_area_2000",0.692157168506454,0.0540515038184523
2016,"slope_2000",0.05784527707138,0.00976681829516917
2016,"elevation_2000",0.42209450502557,0.0684319013650376
2016,"population_count_2000",1.22600343983175,0.0916450453025253
2016,"traveltime_2000_2000",0.226419520163745,0.0721387196505882
2021,"treecover_area_2000",0.952955452700865,0.0592592884628285
2021,"slope_2000",0.216876418326426,0.114854824904018
2021,"elevation_2000",0.43238234274844,0.116005158756858
2021,"population_count_2000",0.607330023457037,0.109348242418794
2021,"traveltime_2000_2000",0.262508664002589,0.0624560065616249
